sample_index_at_1MHz,D0,D1,D2,D3,D4,D5,D6,D7
3218988,0,0,0,0,0,0,0,0
3218996,0,0,0,0,0,0,0,1
3219517,0,0,0,0,0,0,1,1
3219525,0,0,0,0,0,0,1,0
3220041,0,0,0,0,0,0,0,0
3220048,0,0,0,0,0,0,0,1
3220568,0,0,0,0,0,0,1,1
3220577,0,0,0,0,0,0,1,0
3221095,0,0,0,0,0,0,0,0
3221102,0,0,0,0,0,0,0,1
3221622,0,0,0,0,0,0,1,1
3221630,0,0,0,0,0,0,1,0
3222147,0,0,0,0,0,0,0,0
3222154,0,0,0,0,0,0,0,1
3222674,0,0,0,0,0,0,1,1
3222683,0,0,0,0,0,0,1,0
3223199,0,0,0,0,0,0,0,0
3223207,0,0,0,0,0,0,0,1
3223727,0,0,0,0,0,0,1,1
3223735,0,0,0,0,0,0,1,0
3224251,0,0,0,0,0,0,0,0
3224259,0,0,0,0,0,0,0,1
3224779,0,0,0,0,0,0,1,1
3224787,0,0,0,0,0,0,1,0
3225304,0,0,0,0,0,0,0,0
3225312,0,0,0,0,0,0,0,1
3225833,0,0,0,0,0,0,1,1
3225841,0,0,0,0,0,0,1,0
3226358,0,0,0,0,0,0,0,0
3226366,0,0,0,0,0,0,0,1
3226886,0,0,0,0,0,0,1,1
3226894,0,0,0,0,0,0,1,0
3227412,0,0,0,0,0,0,0,0
3227420,0,0,0,0,0,0,0,1
3227939,0,0,0,0,0,0,1,1
3227947,0,0,0,0,0,0,1,0
3228464,0,0,0,0,0,0,0,0
3228472,0,0,0,0,0,0,0,1
3228993,0,0,0,0,0,0,1,1
3229001,0,0,0,0,0,0,1,0
3229518,0,0,0,0,0,0,0,0
3229526,0,0,0,0,0,0,0,1
3230048,0,0,0,0,0,0,1,1
3230056,0,0,0,0,0,0,1,0
3230573,0,0,0,0,0,0,0,0
3230581,0,0,0,0,0,0,0,1
3231102,0,0,0,0,0,0,1,1
3231110,0,0,0,0,0,0,1,0
3231627,0,0,0,0,0,0,0,0
3231635,0,0,0,0,0,0,0,1
3232155,0,0,0,0,0,0,1,1
3232164,0,0,0,0,0,0,1,0
3232681,0,0,0,0,0,0,0,0
3232688,0,0,0,0,0,0,0,1
3233209,0,0,0,0,0,0,1,1
3233217,0,0,0,0,0,0,1,0
3233735,0,0,0,0,0,0,0,0
3233742,0,0,0,0,0,0,0,1
3234263,0,0,0,0,0,0,1,1
3234271,0,0,0,0,0,0,1,0
3234788,0,0,0,0,0,0,0,0
3234795,0,0,0,0,0,0,0,1
3235316,0,0,0,0,0,0,1,1
3235324,0,0,0,0,0,0,1,0
3235842,0,0,0,0,0,0,0,0
3235849,0,0,0,0,0,0,0,1
3236370,0,0,0,0,0,0,1,1
3236378,0,0,0,0,0,0,1,0
3236894,0,0,0,0,0,0,0,0
3236901,0,0,0,0,0,0,0,1
3237421,0,0,0,0,0,0,1,1
3237429,0,0,0,0,0,0,1,0
3237945,0,0,0,0,0,0,0,0
3237953,0,0,0,0,0,0,0,1
3238473,0,0,0,0,0,0,1,1
3238481,0,0,0,0,0,0,1,0
3238998,0,0,0,0,0,0,0,0
3239006,0,0,0,0,0,0,0,1
3239527,0,0,0,0,0,0,1,1
